Company Name,Ticker,Country,Sector,Subsector, Overall ESG RATING, Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
0921706 BC LTD,,CA,Telecommunication Services,Wireless Telecommunication Services,A,6.6,10.0,7.4,2.7
1 MADISON OFFICE FEE LLC,,US,Real Estate Management & Services,Office REITs,BBB,4.7,8.5,5.8,2.6
1&1 AG,1U1,DE,Telecommunication Services,Wireless Telecommunication Services,B,2.0,7.8,3.3,4.4
"1-800-FLOWERSCOM, INC",FLWS,US,Retail - Consumer Discretionary,Internet & Direct Marketing Retail,BBB,5.6,1.2,6.7,3.8
"1000 AUAHI, LLC",,US,Real Estate Development & Diversified Activities,Real Estate Development,A,6.8,6.1,4.1,6.9
1011778 BC UNLIMITED LIABILITY COMPANY,,CA,Restaurants,Restaurants,BB,3.9,5.3,3.6,4.4
10X Genomics Inc,TXG,US,Health Care Equipment & Supplies,Life Sciences Tools & Services,BB,3.4,6.1,3.9,5.1
"1334 YORK, LLC",,US,Diversified Consumer Services,,BBB,5.5,6.7,5.4,3.6
"180 MEDICAL, INC",,US,Health Care Equipment & Supplies,Health Care Supplies,AA,8.4,10.0,5.2,7.1
"1LIFE HEALTHCARE, INC",ONEM,US,Health Care Providers & Services,Health Care Services,A,6.3,6.3,6.0,4.2
1ST CENTENNIAL BANK,,US,Banks,Regional Banks,BB,2.9,0.8,3.4,4.7
1ST SOURCE BANK,,US,Banks,Regional Banks,B,2.2,0.0,2.6,4.7
1ST SOURCE CORPORATION,SRCE,US,Banks,Regional Banks,B,2.2,0.0,2.6,4.7
23andMe Holding Co,ME,US,Health Care Providers & Services,Health Care Services,BBB,5.3,5.9,5.4,4.2
2435572 Ontario Inc,,CA,Metals and Mining - Precious Metals,Precious Metals & Minerals,BB,3.8,3.5,3.3,4.0
"295 E OCOTILLO ROAD, LLC",,US,Real Estate Management & Services,Specialized REITs,BB,3.9,4.6,2.7,6.4
2Seventy Bio Inc,TSVT,US,Biotechnology,Biotechnology,B,2.8,2.2,3.4,6.0
"2U, INC",TWOU,US,Software & Services,Education Services,A,6.9,4.7,4.7,6.3
300 SOUTH TRYON LLC,,US,Life & Health Insurance,,BB,4.2,4.2,2.7,7.1
360 DigiTech Inc,QFIN,CN,Consumer Finance,Consumer Finance,B,2.3,6.5,3.6,2.5
360 Security Technology Inc,601360,CN,Software & Services,Systems Software,BBB,4.3,4.1,5.1,3.0
361 DEGREES INTERNATIONAL LIMITED,1361,CN,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",B,2.8,2.7,2.6,4.5
3D SYSTEMS CORPORATION,DDD,US,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",BBB,4.5,4.4,4.4,4.9
3I GROUP PLC,III,GB,Asset Management & Custody Banks,Asset Management & Custody Banks,AA,7.9,10.0,5.1,7.6
3M COMPANY,MMM,US,Industrial Conglomerates,Industrial Conglomerates,AAA,8.6,6.0,4.6,6.2
3M INDIA LIMITED,3MINDIA,IN,Industrial Conglomerates,Industrial Conglomerates,AA,8.1,3.1,6.7,5.3
3Peak Inc,688536,CN,Semiconductors & Semiconductor Equipment,Semiconductors,CCC,0.0,5.0,2.9,1.5
3R Petroleum Oleo e Gas SA,RRRP3,BR,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,BBB,4.8,2.4,3.6,6.8
3SBIO INC,1530,CN,Biotechnology,Biotechnology,A,6.2,6.3,4.3,6.5
407 INTERNATIONAL INC,FOGTE,CA,Transportation Infrastructure,,BBB,4.3,6.0,4.1,4.9
4D Molecular Therapeutics Inc,FDMT,US,Biotechnology,Biotechnology,BB,4.1,7.1,4.5,4.0
4finance Holding SA,TIRNA,LU,Consumer Finance,,B,1.7,6.7,3.8,4.9
4finance SA,,LU,Consumer Finance,,B,1.7,6.7,3.8,4.9
50Hertz Transmission GmbH,ELI,DE,Utilities,,AA,8.2,7.1,4.8,6.3
